"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"MARTIN ŽÁKOVSKÝ","1/9","67","0%","0%","0",0,801
"BOHUMIL BRAUN","1/9","54","0%","0%","0",0,802
"ING. MARIE KALBÁČOVÁ","1/9","47","100%","100%","0",0,803
"MILAN ZACH ML.","1/9","38","0%","0%","0",0,804
"ING. PETR KALBÁČ","1/9","47","0%","100%","0",0,805
"EVA HORYNOVÁ","1/9","44","100%","0%","0",0,806
"MILAN STEJSKAL","1/9","54","0%","0%","0",0,807
"FRANTIŠEK SKALA","1/9","55","0%","0%","0",0,808
"STANISLAV VYŽRAL","1/9","65","0%","0%","0",0,809
"LUBOŠ VACHL","1/9","54","0%","0%","0",0,810
"JOLANA HRUBEŠOVÁ","1/9","48","100%","0%","0",0,811
"ING. JOSEF SKALA","1/9","61","0%","100%","0",0,812
"MILAN ZACH ST.","1/9","58","0%","0%","0",0,813
"FRANTIŠEK KREJČÍ","1/9","61","0%","0%","0",0,814
"TOMÁŠ LÁVIČKA","1/9","38","0%","0%","0",0,815
"LENKA KŮTOVÁ KONČELOVÁ","1/9","38","100%","0%","0",0,816
