"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"JOSEF KROUPA, NEZÁVISLÝ KANDIDÁT","1/7","35","0%","0%","0",0,801
"ONDŘEJ ŠŤASTNÝ, NEZÁVISLÝ KANDIDÁT","1/7","28","0%","0%","1",0,802
"EMILIE KYNCLOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","57","100%","0%","0",0,803
"ZDENĚK VESELÝ, NEZÁVISLÝ KANDIDÁT","1/7","53","0%","0%","0",0,804
"LENKA ŠEDÁ, NEZÁVISLÝ KANDIDÁT","1/7","35","100%","0%","0",0,805
"ING. MONIKA TLUSTOŠOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","32","100%","100%","0",0,806
"JAROMÍR TLUSTOŠ, NEZÁVISLÝ KANDIDÁT","1/7","65","0%","0%","0",0,807
"JOSEF HUBÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","20","0%","0%","0",0,808
"PAVEL PERNICA, NEZÁVISLÝ KANDIDÁT","1/7","43","0%","0%","1",0,809
"MARIE TLUSTOŠOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","54","100%","0%","0",0,810
"ROMAN TLUSTOŠ, NEZÁVISLÝ KANDIDÁT","1/7","32","0%","0%","1",0,811
"MILOŠ MARVAN, NEZÁVISLÝ KANDIDÁT","1/7","49","0%","0%","0",0,812
"JAROSLAVA BOHÁČKOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","47","100%","0%","0",0,813
"JIŘÍ LEDVINKA, NEZÁVISLÝ KANDIDÁT","1/7","40","0%","0%","1",0,814
