"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"LADISLAV DAVID, NEZÁVISLÝ KANDIDÁT","1/7","37","0%","0%","0",0,801
"MARTIN PETRIK, NEZÁVISLÝ KANDIDÁT","1/7","34","0%","0%","0",0,802
"MICHAL MORŤANIK, NEZÁVISLÝ KANDIDÁT","1/7","32","0%","100%","0",0,803
"VOJTĚCH BOHÁČEK, NEZÁVISLÝ KANDIDÁT","1/7","40","0%","0%","0",0,804
"MIROSLAV PAŤHA, NEZÁVISLÝ KANDIDÁT","1/7","51","0%","0%","0",0,805
"MARTIN ČÁP, NEZÁVISLÝ KANDIDÁT","1/7","35","0%","0%","0",0,806
"JIŘÍ KRUPKA, NEZÁVISLÝ KANDIDÁT","1/7","49","0%","0%","0",0,807
"MARKÉTA ŘÍHOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","34","100%","0%","0",0,808
"PETR POSPÍCHAL, NEZÁVISLÝ KANDIDÁT","1/7","33","0%","0%","0",0,809
"MIROSLAV CHADIM, NEZÁVISLÝ KANDIDÁT","1/7","32","0%","0%","0",0,810
"ILONA HRUBEŠOVÁ, NEZÁVISLÝ KANDIDÁT","1/7","34","100%","100%","0",0,811
"ROMAN NOVÁK, NEZÁVISLÝ KANDIDÁT","1/7","24","0%","0%","0",0,812
