"Strana","Počet kandidátů","Průměrný věk","Podíl žen","Akademický titul","Mandát obhajuje","Změna strany","StranaNr"
"NEZÁVISLÝ KANDIDÁT HANA NETÍKOVÁ","1/7","47","100%","0%","1",0,801
"NEZÁVISLÝ KANDIDÁT JINDŘICH BAŠEK ING.","1/7","49","0%","0%","1",0,802
"NEZÁVISLÝ KANDIDÁT PAVEL ŠEVČÍK","1/7","43","0%","0%","1",0,803
"NEZÁVISLÝ KANDIDÁT LENKA KLIMTOVÁ","1/7","36","100%","0%","0",0,804
"NEZÁVISLÝ KANDIDÁT PAVEL KISLING","1/7","39","0%","0%","0",0,805
"NEZÁVISLÝ KANDIDÁT MARTIN ČERMÁK","1/7","45","0%","0%","1",0,806
"NEZÁVISLÝ KANDIDÁT MARCEL KUBÍČEK ING.","1/7","49","0%","0%","1",0,807
"NEZÁVISLÝ KANDIDÁT JITKA KUBÍČKOVÁ MGR.","1/7","42","100%","0%","1",0,808
"NEZÁVISLÝ KANDIDÁT ROMAN ŠARMÍR","1/7","47","0%","0%","0",0,809
"NEZÁVISLÝ KANDIDÁT JIŘÍ STANĚK","1/7","38","0%","0%","1",0,810
"NEZÁVISLÝ KANDIDÁT ANNA MECOVÁ","1/7","70","100%","0%","0",0,811
